Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
EXN,Excellon Resources Inc. Common Shares,$2.85,0.05,1.786%,92290450.00,,2020,35902,Basic Industries,Precious Metals
FAX,Aberdeen Asia-Pacific Income Fund Inc Common Stock,$4.32,0.02,0.465%,1070045718.00,United States,1986,350871,,
FCO,Aberdeen Global Income Fund Inc. Common Stock,$8.50,0.14,1.675%,74258652.00,United States,1992,42122,,
FEN,First Trust Energy Income and Growth Fund,$14.55,-0.07,-0.479%,282933044.00,United States,2004,95780,,
FRD,Friedman Industries Inc. Common Stock,$14.05,0.04,0.286%,97027178.00,United States,,94554,Basic Industries,Steel/Iron Ore
FSI,Flexible Solutions International Inc. Common Stock (CDA),$3.37,0.08,2.432%,41504064.00,Canada,,9699,Capital Goods,Recreational Products/Toys
FSP,Franklin Street Properties Corp. Common Stock,$5.30,-0.11,-2.033%,568839455.00,United States,,253587,Consumer Services,Real Estate Investment Trusts
FTF,Franklin Limited Duration Income Trust Common Shares of Beneficial Interest,$9.18,-0.02,-0.217%,276674505.00,United States,2003,145875,,
FTSI,FTS International Inc. Class A Common Stock,$27.62,-0.05,-0.181%,386402971.00,United States,2020,43539,Energy,Oilfield Services/Equipment
FURY,Fury Gold Mines Limited Common Shares,$1.41,0.05,3.676%,166282334.00,,2020,141251,Basic Industries,Precious Metals
GAU,Galiano Gold Inc.,$1.29,0.01,0.781%,289828326.00,Canada,,490774,Basic Industries,Precious Metals
GBR,New Concept Energy Inc Common Stock,$5.17,0.14,2.783%,26532099.00,United States,,406599,Consumer Services,Real Estate
GDP,Goodrich Petroleum Corporation Common Stock,$11.38,-0.39,-3.314%,152518072.00,United States,2017,40843,Energy,Oil & Gas Production
GGN,GAMCO Global Gold Natural Resources & Income Trust,$4.16,0.00,0.00%,640557362.00,United States,2005,706020,,
GGN^B,GAMCO Global Gold Natural Reources & Income Trust 5.00% Series B Cumulative 25.00 Liquidation Preference,$25.55,0.00,0.00%,,United States,,96,,
GGO,The Gabelli Go Anywhere Trust Common Shares of Beneficial Interest,$16.40,-0.06,-0.365%,25370013.00,,2016,24829,,
GGO^A,The Gabelli Go Anywhere Trust Series A Cumulative Puttable and Callable Preferred Shares,$40.78,0.00,0.00%,,,,20,,
GLDG,GoldMining Inc. Common Shares,$1.66,-0.02,-1.19%,248188891.00,,,519810,Basic Industries,Precious Metals
GLO,Clough Global Opportunities Fund Common Stock,$12.40,0.10,0.813%,399582709.00,United States,2006,163404,,
GLQ,Clough Global Equity Fund Clough Global Equity Fund Common Shares of Beneficial Interest,$15.35,-0.01,-0.065%,203093225.00,United States,2005,69008,,
GLU,Gabelli Global Utility Common Shares of Beneficial Ownership,$22.20,0.01,0.045%,119293432.00,United States,2004,13155,,
GLU^B,The Gabelli Global Utility and Income Trust Series B Cumulative Puttable and Callable Preferred Shares,$52.2485,0.1735,0.333%,,United States,,1000,,
GLV,Clough Global Dividend and Income Fund Common Shares of beneficial interest,$11.59,-0.01,-0.086%,97615083.00,United States,2004,33756,,
GOED,1847 Goedeker Inc. Commom Stock,$2.66,0.10,3.906%,16255792.00,United States,2020,24848361,Consumer Services,Home Furnishings
GORO,Gold Resource Corporation Common Stock,$2.86,0.04,1.418%,212896126.00,United States,,1425768,Basic Industries,Precious Metals
GPL,Great Panther Mining Limited Ordinary Shares (Canada),$0.6879,0.0033,0.482%,244479508.00,Canada,,3020014,Basic Industries,Precious Metals
GRF,Eagle Capital Growth Fund Inc. Common Stock,$8.9132,-0.2468,-2.694%,36315238.00,United States,,4183,,
GROY,Gold Royalty Corp. Common Shares,$4.87,0.0947,1.983%,202695960.00,,2021,52306,,
GSAT,Globalstar Inc. Common Stock,$1.17,-0.03,-2.50%,2096640000.00,United States,2006,31476063,Consumer Services,Telecommunications Equipment
GSS,Golden Star Resources Ltd Common Stock,$3.46,0.12,3.593%,396835922.00,United States,,245111,Basic Industries,Precious Metals
GSV,Gold Standard Ventures Corporation Common Stock (Canada),$0.609,0.0078,1.297%,217703009.00,Canada,,632168,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
GTE,Gran Tierra Energy Inc. Common Stock,$0.7118,0.0087,1.237%,261217472.00,Canada,,3212046,Energy,Oil & Gas Production
HLM^,Hillman Group Capital Trust Preferred Stock,$27.205,-0.045,-0.165%,,United States,,18732,,
HMG,HMG/Courtland Properties Inc. Common Stock,$11.7987,0.00,0.00%,11884217.00,United States,,7,Consumer Services,Real Estate Investment Trusts
HNW,Pioneer Diversified High Income Fund Inc.,$15.09,0.02,0.133%,125741801.00,United States,2007,62156,,
HUSA,Houston American Energy Corporation Common Stock,$1.73,0.05,2.976%,17167375.00,United States,,136537,Energy,Oil & Gas Production
HWM^,Howmet Aerospace Inc. $3.75 Preferred Stock,$77.00,0.81,1.063%,,United States,,1706,,
IAF,Aberdeen Australia Equity Fund Inc Common Stock,$6.58,0.06,0.92%,153340919.00,United States,,58123,,
IBIO,iBio Inc. Common Stock,$1.40,-0.01,-0.709%,304990482.00,United States,,2927324,Health Care,Major Pharmaceuticals
ID,PARTS iD Inc. Class A Common Stock,$5.80,-0.11,-1.861%,192406045.00,United States,2017,46997,Miscellaneous,Diversified Commercial Services
IGC,India Globalization Capital Inc. Common Stock,$1.39,-0.02,-1.418%,63059189.00,United States,,543890,Technology,Engineering & Construction
IHT,InnSuites Hospitality Trust Shares of Beneficial Interest,$7.97,0.52,6.98%,70582750.00,United States,,2978321,Consumer Services,Real Estate Investment Trusts
IMH,Impac Mortgage Holdings Inc. Common Stock ,$1.99,0.03,1.531%,42452041.00,United States,1997,501119,Finance,Finance: Consumer Services
IMO,Imperial Oil Limited Common Stock,$34.07,0.34,1.008%,25009995043.00,Canada,,486259,Energy,Integrated oil Companies
INDO,Indonesia Energy Corporation Limited Ordinary Shares,$5.78,-0.0479,-0.822%,42933580.00,,2019,4640,Energy,Oil & Gas Production
INFU,InfuSystems Holdings Inc. Common Stock,$18.68,0.21,1.137%,382357128.00,United States,,99685,Health Care,Medical/Dental Instruments
INTT,inTest Corporation Common Stock,$15.06,0.46,3.151%,161851793.00,United States,1997,150371,Technology,Semiconductors
INUV,Inuvo Inc.,$0.7888,-0.0062,-0.78%,93487349.00,United States,,830190,Technology,Advertising
IOR,Income Opportunity Realty Investors Inc. Common Stock,$12.90,0.00,0.00%,53772541.00,United States,,190,Finance,Diversified Financial Services
ISDR,Issuer Direct Corporation Common Stock,$26.00,0.12,0.464%,97915350.00,United States,,9369,Technology,EDP Services
ISR,IsoRay Inc. Common Stock (DE),$0.8891,-0.0309,-3.359%,125776768.00,United States,,2217608,Health Care,Medical/Dental Instruments
ITP,IT Tech Packaging Inc. Common Stock,$0.5011,-0.0022,-0.437%,49633905.00,China,,3924215,Basic Industries,Paper
ITRG,Integra Resources Corp. Common Shares,$3.30,0.08,2.484%,180882973.00,,,37479,,
JOB,GEE Group Inc. Common Stock,$0.589,-0.0139,-2.306%,66851768.00,United States,,7703907,Technology,Diversified Commercial Services
KIQ,Kelso Technologies Inc Ordinary Shares,$0.6799,-0.0026,-0.381%,36898231.00,Canada,,519608,,
KLR,Kaleyra Inc. Common Stock,$11.51,0.24,2.13%,360347437.00,United States,2018,374825,Technology,Internet and Information Services
LCTX,Lineage Cell Therapeutics Inc. Common Stock,$2.86,0.08,2.878%,428946652.00,United States,,1529939,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LEU,Centrus Energy Corp. Class A Common Stock,$23.22,0.74,3.292%,321648897.00,United States,2014,60920,,
LGL,LGL Group Inc. (The) Common Stock,$11.21,-0.09,-0.796%,59101407.00,United States,,19989,Capital Goods,Industrial Machinery/Components
LNG,Cheniere Energy Inc. Common Stock,$87.35,0.13,0.149%,22146485863.00,United States,,659160,Public Utilities,Oil/Gas Transmission
LODE,Comstock Mining Inc. Common Stock,$4.29,0.57,15.323%,182134159.00,United States,,4450151,Finance,Real Estate
LOV,Spark Networks Inc. American Depositary Shares (each representing one-tenth of an Ordinary Share),$5.49,-0.35,-5.993%,143052326.00,United States,2017,66499,Miscellaneous,Other Consumer Services
LSF,Laird Superfood Inc. Common Stock,$32.48,-0.46,-1.396%,292024562.00,,2020,33848,Consumer Non-Durables,Specialty Foods
LXFR,Luxfer Holdings PLC Ordinary Shares,$22.62,-0.23,-1.007%,648055422.00,United Kingdom,2012,78980,Capital Goods,Metal Fabrications
MAG,MAG Silver Corporation Ordinary Shares,$22.09,0.48,2.221%,2095014363.00,Canada,,351388,Basic Industries,Precious Metals
MCF,Contango Oil & Gas Company Common Stock (TX),$5.39,-0.15,-2.708%,1081701157.00,United States,,1663767,Energy,Oil & Gas Production
MHH,Mastech Digital Inc Common Stock,$17.21,0.95,5.843%,196728405.00,United States,,44489,Consumer Services,Professional Services
MLSS,Milestone Scientific Inc. Common Stock,$2.02,-0.08,-3.81%,134845494.00,United States,2015,248796,Health Care,Industrial Specialties
MMX,Maverix Metals Inc. Common Shares,$5.86,0.10,1.736%,827530354.00,,,63334,,
MSN,Emerson Radio Corporation Common Stock,$1.25,0.01,0.806%,26303315.00,United States,,82039,Consumer Non-Durables,Consumer Electronics/Appliances
MTA,Metalla Royalty & Streaming Ltd. Common Shares,$10.21,-0.13,-1.257%,431913507.00,,,141634,Basic Industries,Precious Metals
MTNB,Matinas Biopharma Holdings Inc. Common Stock,$0.8194,-0.009,-1.086%,167390287.00,United States,2017,855194,Health Care,Major Pharmaceuticals
MXC,Mexco Energy Corporation Common Stock,$8.90,-0.02,-0.224%,18437827.00,United States,,32103,Energy,Oil & Gas Production
MYO,Myomo Inc. Common Stock,$10.135,-0.095,-0.929%,56796773.00,United States,2017,67943,Health Care,Industrial Specialties
NAK,Northern Dynasty Minerals Ltd. Common Stock,$0.5778,0.0043,0.75%,296353734.00,Canada,,6382788,Basic Industries,Precious Metals
NAVB,Navidea Biopharmaceuticals Inc. Common Stock,$1.78,0.05,2.89%,51665233.00,United States,,53267,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
NBA,New Beginnings Acquisition Corp. Common Stock,$10.06,0.00,0.00%,150095200.00,,2020,72765,,
NBH,Neuberger Berman Municipal Fund Inc. Common Stock,$15.76,-0.09,-0.568%,296573193.00,United States,2002,30543,,
NBO,Neuberger Berman New York Municipal Fund Inc. Common Stock,$13.22,0.13,0.993%,67123453.00,United States,2002,13167,,
NBW,Neuberger Berman California Municipal Fund Inc Common Stock,$14.44,0.25,1.762%,80157075.00,United States,2002,13445,,
NBY,NovaBay Pharmaceuticals Inc. Common Stock,$0.7199,0.0417,6.149%,30194466.00,United States,2007,765537,Health Care,Major Pharmaceuticals
NEN,New England Realty Associates Limited Partnership Class A Depositary Receipts Evidencing Units of Limited Partnership,$60.05,0.00,0.00%,219344395.00,United States,,71,Consumer Services,Building operators
NES,Nuverra Environmental Solutions Inc. Common Stock,$2.34,0.05,2.183%,37440187.00,United States,2017,4934,Public Utilities,Water Supply
NEWP,New Pacific Metals Corp. Common Shares,$5.32,0.07,1.333%,818409893.00,,2021,150692,Capital Goods,Medical Specialities
NG,Novagold Resources Inc.,$10.22,0.06,0.591%,3386204700.00,Canada,,558695,Basic Industries,Precious Metals
NGD,New Gold Inc.,$2.12,0.06,2.913%,1443084000.00,Canada,,4598229,Basic Industries,Precious Metals
NHC,National HealthCare Corporation Common Stock,$73.35,-1.30,-1.741%,1129086819.00,United States,,23359,Health Care,Hospital/Nursing Management
NHS,Neuberger Berman High Yield Strategies Fund,$13.22,-0.0496,-0.374%,258326534.00,United States,,33177,,
NML,Neuberger Berman MLP and Energy Income Fund Inc. Common Stock,$5.07,0.14,2.84%,287260765.00,,2013,108163,,
NNVC,NanoViricides Inc. Common Stock,$3.75,0.05,1.351%,43143750.00,United States,,38820,Health Care,Major Pharmaceuticals
NOG,Northern Oil and Gas Inc. Common Stock,$18.86,0.28,1.507%,1139199920.00,United States,,509377,Energy,Oil & Gas Production
NRO,Neuberger Berman Real Estate Securities Income Fund Inc. Neuberger Berman Real Estate Securities Income Fund Inc.,$4.96,0.03,0.609%,235205189.00,United States,2003,150852,,
NTIP,Network-1 Technologies Inc. Common Stock,$3.42,0.02,0.588%,82480581.00,United States,,4509,Capital Goods,Telecommunications Equipment
NXE,Nexgen Energy Ltd. Common Shares,$4.83,0.23,5.00%,2273403329.00,,,2155967,Basic Industries,Precious Metals
OGEN,Oragenics Inc. Common Stock,$0.7225,-0.0075,-1.027%,83548647.00,United States,,1418536,Health Care,Major Pharmaceuticals
ORLA,Orla Mining Ltd. Common Shares,$4.43,0.05,1.142%,1052953521.00,,2020,385891,Basic Industries,Precious Metals
PCG^A,Pacific Gas & Electric Co. 6% Preferred Stock,$29.90,0.36,1.219%,,United States,,917,,
PCG^B,Pacific Gas & Electric Co. 5 1/2% Preferred Stock,$27.46,-0.02,-0.073%,,United States,,200,,
PCG^C,Pacific Gas & Electric Co. 5% 1st Preferred Stock,$25.7792,0.5292,2.096%,,United States,,115,,
PCG^D,Pacific Gas & Electric Co. 5% 1st  Red. Preferred Stock,$24.95,0.0599,0.241%,,United States,,100,,
PCG^E,Pacific Gas & Electric Co. 5% 1st A Preferred Stock,$25.00,0.00,0.00%,,United States,,250,,
PCG^G,Pacific Gas & Electric Co. 4.80% 1st Preferred Stock,$24.07,0.08,0.333%,,United States,,518,,
PCG^H,Pacific Gas & Electric Co. 4.50% 1st Preferred Stock,$22.90,0.225,0.992%,,United States,,2485,,
PCG^I,Pacific Gas & Electric Co. 4.36% 1st Preferred Stock,$22.66,0.26,1.161%,,United States,,220,,
PED,Pedevco Corp. Common Stock,$1.48,-0.01,-0.671%,117603172.00,United States,,94374,,
PHGE,BiomX Inc. COmmon Stock,$6.08,-0.01,-0.164%,147906452.00,,2019,13727,Health Care,Major Pharmaceuticals
PLAG,Planet Green Holdings Corp. Common Stock,$1.625,0.015,0.932%,39016136.00,China,,58152,,
PLG,Platinum Group Metals Ltd. Ordinary Shares (Canada),$4.17,0.22,5.57%,308404501.00,Canada,,539052,Basic Industries,Precious Metals
PLM,Polymet Mining Corporation Ordinary Shares (Canada),$3.28,-0.09,-2.671%,330877610.00,Canada,,340242,Basic Industries,Precious Metals
PLX,Protalix BioTherapeutics Inc. (DE) Common Stock,$2.14,-0.08,-3.604%,97119258.00,Israel,,2115457,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PLYM^A,Plymouth Industrial REIT Inc. 7.50% Series A Cumulative Redeemable Preferred Stock,$26.64,0.00,0.00%,,United States,,257,,
PRK,Park National Corporation Common Stock,$125.97,-1.29,-1.014%,2058430925.00,United States,,21972,Finance,Major Banks
PTK,PTK Acquisition Corp. Common Stock,$9.88,0.02,0.203%,142025000.00,United States,2020,12749,,
PTN,Palatin Technologies Inc. Common Stock,$0.5764,0.0131,2.326%,132600642.00,United States,,1944455,Health Care,Major Pharmaceuticals
PW,Power REIT (MD) Common Stock,$44.54,0.05,0.112%,146961200.00,United States,,6047,Consumer Services,Real Estate Investment Trusts
PZG,Paramount Gold Nevada Corp. Common Stock,$1.05,0.01,0.962%,39581241.00,United States,2015,159702,Basic Industries,Precious Metals
RCG,RENN Fund Inc Common Stock,$2.6799,0.058,2.212%,15950647.00,United States,,47644,,
REI,Ring Energy Inc. Common Stock,$2.73,0.02,0.738%,271023308.00,United States,,2202940,Energy,Oil & Gas Production
